target_param,epoch,train_mae,valid_mae,minutes,lr,minutes:
inf,286,0.05490859229693502,0.08542111011282089,,1.52587890625e-08,1267.073799697558
inf,287,0.05490858014374308,0.08542114496231078,,1.52587890625e-08,1271.6626708110173
inf,288,0.054908572480493495,0.08542113703104758,,1.52587890625e-08,1276.2523553053536
inf,289,0.05490857024627519,0.08542109340909987,,1.52587890625e-08,1280.8462838451069
inf,290,0.054908566893752835,0.0854211353486584,,1.52587890625e-08,1285.429170191288
inf,291,0.05490855069268287,0.08542102298909618,,1.52587890625e-08,1290.0168716867765
inf,292,0.05490855814804239,0.08542096194240356,,1.52587890625e-08,1294.603002258142
inf,293,0.054908555966393865,0.08542097155605595,,1.52587890625e-08,1299.183194375038
inf,294,0.054908551548137535,0.08542102731523972,,1.52587890625e-08,1303.7734361131986
inf,295,0.05490854061838907,0.0854208910417172,,1.52587890625e-08,1308.3665403485295
inf,296,0.054908538513205735,0.0854210816323757,,1.52587890625e-08,1313.0114019234975
inf,297,0.05490852969103019,0.08542101277459052,,1.52587890625e-08,1317.609617348512
inf,298,0.054908520962046486,0.08542115746005888,,1.52587890625e-08,1322.2026476780572
inf,299,0.054908523526021186,0.08542115361459794,,1.52587890625e-08,1326.8092759450274
